url,site_category,tag_name,attributes,inner_text,is_visible,bounding_box,selector,aria_role,aria_label,classes,id,is_clickable,has_hover,text_length,child_elements,parent_tag
https://www.wikipedia.org/,interactive,a,"{'href': '//ca.wikipedia.org/', 'lang': 'ca'}",,False,"{'x': 152.59942626953125, 'y': 929.9857788085938, 'width': 38.18182373046875, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(8) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//cs.wikipedia.org/', 'lang': 'cs'}",,False,"{'x': 291.4630432128906, 'y': 739.53125, 'width': 45.1136474609375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(9) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//cy.wikipedia.org/', 'lang': 'cy'}",,False,"{'x': 291.4630432128906, 'y': 763.3380126953125, 'width': 55.05682373046875, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(10) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//da.wikipedia.org/', 'lang': 'da'}",,False,"{'x': 291.4630432128906, 'y': 787.1448364257812, 'width': 37.7698974609375, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(11) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//et.wikipedia.org/', 'lang': 'et'}",,False,"{'x': 291.4630432128906, 'y': 810.95166015625, 'width': 28.480133056640625, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(12) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//el.wikipedia.org/', 'lang': 'el', 'title': 'Ellīniká'}",,False,"{'x': 291.4630432128906, 'y': 834.7584838867188, 'width': 56.122161865234375, 'height': 19.0909423828125}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(13) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//eo.wikipedia.org/', 'lang': 'eo'}",,False,"{'x': 291.4630432128906, 'y': 858.5653076171875, 'width': 61.434661865234375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(14) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//eu.wikipedia.org/', 'lang': 'eu'}",,False,"{'x': 291.4630432128906, 'y': 882.3721313476562, 'width': 47.03125, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(15) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//gl.wikipedia.org/', 'lang': 'gl', 'title': 'Galego'}",,False,"{'x': 291.4630432128906, 'y': 906.178955078125, 'width': 43.892059326171875, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(16) > a,,,,,False,False,0,0,li
https://www.wikipedia.org/,interactive,a,"{'href': '//ko.wikipedia.org/', 'lang': 'ko', 'title': 'Hangugeo'}",,False,"{'x': 291.4630432128906, 'y': 929.9857788085938, 'width': 42.00286865234375, 'height': 19.09088134765625}",div#js-lang-lists > div:nth-of-type(2) > ul > li:nth-of-type(17) > a,,,,,False,False,0,0,li
